featureid	Intercept	country[T.US]
Methanobrevibacter	6.01357621732168	1.2138120556885221
Actinomyces	2.1444513279479	1.3896010840946653
Arcanobacterium	-1.2947948497254398	0.4090008760506132
Mobiluncus	-2.56044893679209	0.3340892220550993
Varibaculum	0.6446091610472653	2.0041456247383573
Corynebacterium	2.3024186569731686	-0.26710241784510824
Dermacoccus	-3.9947245639283206	-0.2170938824599764
Kytococcus	-3.8870671313721683	0.2486556793266752
Dermatophilus	-3.5981715243775394	-1.1596894835418246
Dietzia	-3.083303741784766	-1.2346914385741732
Gordonia	-3.8428376239258792	-0.7914934729522249
Serinicoccus	-2.194882683129981	0.570897998910568
Microbacterium	-4.532170585962012	0.003172698121688633
Arthrobacter	-1.541875175805762	-2.0851626967376244
Kocuria	-2.0015643161255863	-0.9674149130767367
Micrococcus	-2.2837393802125003	-2.716290769476272
Nesterenkonia	-3.811641029687598	0.01433247576298502
Renibacterium	-1.0524886172730472	0.3138223315292814
Rothia	2.943216272024439	1.3106840650254705
Rhodococcus	-3.014947227807715	0.15488964567723063
Streptomyces	-2.393219284387305	-2.2425296877807153
Alloscardovia	-1.7830923121888187	-0.11453395833430502
Bifidobacterium	9.580579944280908	0.574011328321121
Parascardovia	-1.0130332034546878	0.4983079458290556
Scardovia	0.7085806805174801	1.259682657819412
Adlercreutzia	2.9988393265288336	-1.721969423193313
Atopobium	2.104104943899438	1.05646564314904
Collinsella	5.127500839857386	-0.4717289780562899
Eggerthella	1.7823245007079098	2.6986768866592863
Slackia	0.10431022229604459	0.28367978582920816
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides	6.573594756750391	2.5562976027542574
Dysgonomonas	-1.6422246020752933	1.016535582643173
Odoribacter	1.1526715237181637	0.38115227470936563
Parabacteroides	4.9347686249297125	2.873717012506149
Porphyromonas	-0.33377199587412143	0.6951684380585172
Prevotella	8.834476895956323	-2.1965993021911157
Alistipes	3.6714796501677496	2.7158563757950285
Cyclobacterium	-3.8562453311402347	0.6857680107170561
Pedobacter	-4.340730957360938	1.2439726411068657
Sphingobacterium	-1.8426559489686039	1.3412313784176328
Alicyclobacillus	-3.7893250506836917	-1.0766277884429476
Anaerobacillus	-1.094487480493262	1.2221169301012376
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus	0.790468402532861	1.0420507515484312
Geobacillus	-4.146664909692481	-0.1231133316939852
Halobacillus	-3.759648613305762	-0.6266351317351839
Lentibacillus	-2.0309527438599613	-1.069891271490433
Natronobacillus	-4.181965164514258	0.23617637405934122
Oceanobacillus	-3.881563476892188	-1.4441850756591341
Terribacillus	-4.138824753137305	1.1473067278677442
Virgibacillus	-4.26892118868418	-1.1415308093017122
Listeria	-3.5076735537964847	0.223933043580673
Ammoniphilus	-3.3022683185059574	-1.1634579276031038
Paenibacillus	-0.47273569521494174	0.9435448969418028
Kurthia	-1.7771504443604496	-2.4343357657378686
Rummeliibacillus	-3.5093844455201175	-0.42261105527339193
Sporosarcina	-3.6025288623291996	-0.9808250044768831
Macrococcus	-1.9600446742493656	-2.8793757533019555
Salinicoccus	-0.6566408198792484	1.4433870638424375
Staphylococcus	3.2914692837279302	1.6364654625469663
Exiguobacterium	-3.007753662439063	-2.148230132955886
Gemella	1.8859474140685055	0.5934534693771818
Turicibacter	3.2171053368132574	1.4000694478565672
Abiotrophia	-0.9594462436158206	-1.3151820277160189
