Feature ID,0,1,2,3,4,5
Anaerotruncus,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Eubacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Eubacterium
Parabacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Bacteroides
Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Eggerthella,Bacteria,Actinobacteria,Actinobacteria (class),Coriobacteriales,Coriobacteriaceae,Eggerthella
Coprococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus
Turicibacter,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Coprobacillus,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus
Phascolarctobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium
Sphingobacterium,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Akkermansia,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia
Oribacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Odoribacter,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter
Lachnospira,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira
Alistipes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Bacteria_Tenericutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Clostridium
Lachnobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium
Roseburia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Butyrivibrio,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Eubacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eubacterium
Blautia,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Oscillospira,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira
Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium
Bilophila,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila
