,Intercept,country[T.US]
y0,3.2254273348200852e-24,3.7861886675514204e-08
y1,4.5428344041721355e-06,2.959770819307315e-13
y2,1.0106993756164273e-45,4.755365933284875e-16
y3,2.3054306524670513e-21,0.13906666349517605
y4,2.297600271693373e-10,0.06768756058632396
y5,0.0001281983968633332,0.004592373716493633
y6,4.825134021380903e-14,3.412362557356458e-06
y7,0.000592947397932893,0.38967389332209046
y8,0.0002458037662367221,0.16882569516788526
y9,3.3005567364052406e-13,0.8515697158748513
y10,0.2025209239053997,0.2025209239053997
y11,2.2601023821936452e-08,0.0545570861205084
y12,0.09686872075725095,0.47693553605674244
y13,0.20817320658577282,0.12508302542026625
y14,7.085555258053509e-21,0.0008225751441537312
y15,1.4772701610156726e-07,0.014528368747397297
y16,0.6145044281738739,0.6145044281738739
y17,3.18387809164531e-20,0.03152784853363147
y18,3.2974082952839115e-29,0.013951888854290466
y19,1.2193376810315551e-10,0.02555255557828977
y20,0.11065351796228418,0.4189625658084506
y21,0.1844093365377213,2.7681597517489126e-05
y22,6.172974869740222e-31,6.880310949425424e-05
y23,0.21129583660449178,0.03280103855745009
y24,2.6292808540830466e-10,0.004165943375056424
y25,7.675307839736695e-35,0.017735119243843495
y26,3.0983953743202665e-13,0.07441876521553105
y27,0.010390486196009428,0.4847874130063372
y28,1.5578611883375682e-11,0.9411386203367386
y29,0.0002812004049279077,0.022802855186316782
y30,2.1383672964480265e-07,0.0002171722914853045
y31,0.006492538526080686,0.0005254905056172138
y32,0.00013528279523540357,0.4017843284698488
y33,1.7842101802068257e-21,2.1950624960208846e-05
y34,4.439648020370419e-33,0.001608986212505693
y35,0.00019576590335274328,0.6534904396014594
y36,3.3070522556507275e-18,0.44627178865214057
y37,1.251856051095755e-22,3.7161862614261775e-10
y38,6.680869268474524e-34,4.380332617087942e-09
y39,3.2531227080907654e-11,0.8345958836767627
y40,7.766389057818597e-37,0.5897433163783208
y41,0.03109523353890735,0.0006467574272999228
y42,1.3600717691549232e-14,0.8260252721466884
y43,1.8062285969939467e-17,0.5285268063706539
y44,2.2088074651817375e-06,0.04983402267150746
y45,8.571306913950722e-21,0.0004323857031719122
y46,3.716061277495461e-21,0.4426880656674995
y47,2.546041342180997e-10,0.13201576202742307
y48,5.540531481946554e-30,0.8643224875694454
y49,0.7850254346119623,0.8653216517244974
y50,2.755291884911169e-30,0.0009720301945305571
y51,6.70190122758355e-34,0.3003446425470317
y52,1.2808984237236644e-18,0.0043941213883706386
y53,1.166619886479665e-08,0.004098120005007712
y54,2.944940349680532e-17,0.9783461995759652
y55,2.0569493120073178e-07,0.1280300936799318
y56,1.0871159333858044e-12,2.7288482938412937e-12
y57,5.548375998981286e-63,0.32139724026954414
y58,9.140528893716879e-31,1.150653836340484e-06
y59,2.3091018196380988e-37,0.10831688812754932
y60,0.00016960802444604541,0.014690926333256202
y61,0.036543556692891575,0.0023588408958800117
y62,0.0008520163852689792,0.0008520163852689792
y63,1.182995485497555e-25,9.583721483269307e-06
y64,0.11297858246039792,9.597655507832056e-11
y65,0.5951552618712979,2.667363880328484e-06
y66,4.392500375116761e-70,0.006658416767502375
y67,0.0005450735613878511,0.0009705151207230297
y68,1.6169609034135447e-08,0.03001859910166361
y69,2.769566149675883e-23,1.358179362714594e-08
y70,0.8970648062829232,0.41971190814389364
y71,0.15357215536673066,0.00014450462699013158
y72,3.016874571263886e-07,0.008110656993529638
y73,0.0008700494213312725,0.2759440337328988
y74,0.035780971732354824,0.5515078606661503
y75,8.220916593104236e-12,0.0348239010576981
y76,0.03652449353921427,0.4053551099249071
y77,1.8952216369502428e-22,0.0011023452402043107
y78,6.413403876352609e-14,0.0012618141140090563
y79,1.3384153625269294e-56,0.03425476305828209
y80,0.21046865696511804,0.823655358561852
y81,1.3688636671737838e-06,0.08763826686159044
y82,3.9490334691301235e-07,0.003415271663263513
y83,0.0001992133989645829,0.022751604298295914
y84,4.682953863517668e-49,0.050849919895326424
y85,1.1620755408940886e-05,0.028149071118299115
y86,2.9745966412827475e-06,0.126355318404428
y87,8.163555660670561e-33,0.9297507124178447
y88,5.250484478716721e-09,0.01571149171297956
y89,2.4061698572588344e-06,0.03905060041144818
y90,0.8215523201775062,0.124254306643195
y91,1.1243616808522725e-14,0.03995908616622337
y92,3.1622660429186815e-26,0.9606551544811404
y93,1.7674120597879977e-13,1.258446324772193e-06
y94,1.0536302862396391e-10,0.2918330505184625
y95,1.6911132096295887e-06,0.16080992915433384
y96,0.1063461908555937,0.051031502163780544
y97,1.9426545518894923e-24,0.023571165688535067
y98,1.5426901951049325e-14,0.0019470178564031811
y99,3.180220400932938e-05,0.03615076668220241
y100,3.1766868451208907e-07,0.05405644651643629
y101,0.002510262827681702,0.6775407793810325
y102,0.6574104380649135,0.0013002167485167547
y103,0.5296191898384306,0.5296191898384306
y104,0.0002180068274638568,0.7280170063733692
y105,1.4352807068900553e-05,0.07074624405952731
y106,4.005069011806908e-43,0.6318385681433711
y107,0.0011226069651358724,0.6889311831416233
y108,4.2166841878361414e-60,0.23471576600926686
y109,0.06190068040842734,1.6157021503690513e-05
y110,1.8065534152130064e-10,0.00017036700930788472
y111,0.07732719390748541,0.07732719390748541
y112,4.83097502752428e-10,0.4397095724547492
y113,0.004876196533959789,0.03486536170769776
y114,0.06790193632830079,0.08221746233022893
y115,0.020503668629459196,0.4228866758204449
y116,0.7102660384008004,0.08847645934728927
y117,3.6461334868735594e-05,0.08662276893233002
y118,1.5627274172444344e-09,0.00867168284337959
y119,0.5526739509756083,6.653243378163467e-09
y120,0.3251807652001356,0.01250561093402521
y121,0.1454834163414633,0.1454834163414633
y122,0.4654033887836382,0.042221206587468946
y123,0.007850628475605246,0.36641317829611586
y124,0.02434575973263779,0.01822338809464555
y125,0.10278218055557305,0.10147848319237532
y126,0.09605913243076987,0.07822378620921976
y127,8.864699016553485e-07,0.0115086750467945
y128,0.05136224326815562,0.482245379428342
y129,0.00020001199596690852,0.10481173567656943
y130,0.15153000854028187,0.0011913991726245387
y131,0.17919093055404411,0.3728496267552559
y132,3.714683196668331e-08,0.4036564733470378
y133,0.0001546083615572193,0.865493677654854
y134,4.17314345282802e-07,0.02827496406055641
y135,3.611806061225592e-06,0.03603945874484189
y136,1.9588350114298705e-07,0.7067582625533328
y137,0.3151118945839926,0.8436148880117318
y138,0.3363900982346376,0.2451062382708342
y139,3.404704883135699e-06,4.8326259427475795e-08
