Feature ID,0,1,2,3,4,5
Tatlockia,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Tatlockia
Oligella,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella
Capnocytophaga,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Leptothrix,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Leptothrix
Erythromicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythromicrobium
Chlamydia,Bacteria,Chlamydiae,Chlamydiae (class),Chlamydiales,Chlamydiaceae,Chlamydia
Limnohabitans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
Geobacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
PSB-M-3,Bacteria,Tenericutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,PSB-M-3
Candidatus Azobacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Unknown,Candidatus Azobacteroides
Ammoniphilus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Ammoniphilus
Hyphomicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
A17,Bacteria,Planctomycetes,Planctomycea,Pirellulales,Pirellulaceae,A17
Arthrobacter,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Micrococcaceae,Arthrobacter
Varibaculum,Bacteria,Actinobacteria,Actinobacteria (class),Actinomycetales,Actinomycetaceae,Varibaculum
Pelotomaculum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum
Luteimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
