genus	USygt16.T1.418527	USygt30.T1.418821	USygt33.M.418638	USygt28.T2.418449	USygt16.B1.418368	USygt13.M.418644	USygt30.T2.418609	USygt25.S1.418338	USygt22.F.418477	USygt37.T2.418585	USygt14.F.418375	USygt12.T1.418615	USygt28.T1.418827	USygt11.M.418479	USygt25.F.418747	USygt31.T2.418361	USygt25.B1.418792	USygt15.F.418688	USygt29.T2.418768	USygt29.T1.418673	USygt15.T2.418859	USygt31.T1.418408	USygt27.M.418861	USygt14.T2.418813	USygt9.B1.418824	USygt11.F.418661	USygt32.M.418562	USygt23.T1.418854	USygt32.T1.418708	USygt35.T1.418610	USygt28.M.418808	USygt20.F.418339	USygt23.F.418490	USygt34.F.418402	USygt30.F.418729	USygt16.M.418462	USygt21.F.418579	F3T2pre4.418583	USBldAdlt6.418795	h68M.1.418773	USchp60Mom.418566	F4T2pre4.418418	USchp25Child.418345	USchp33ChildA.418742	USBldChld5.418733	USchp33Mom.418698	USBldChld4.418528	USchp35Child.418784	USchp18Mom.418783	USchp33ChildB.418578	USBldChld2.418414	USchp11Child.418850	USBldChld7.418488	USchp35Mom.418515	F3T1pre4.418699	USchp41Mom.418801	F4T1pre4.418431	USchp4Mom.418666	USchp25Mom.418780	USchp18Child.418782	h147B.4.418548	h264M.1.418377	h130A.4.418604	h130B.4.418471	h147A.4.418376	h147M.1.418531	h146M.1.418838	h186M.1.418788	h165M.1.418394	h60A.2.418856	h273M.1.418507	h146B.4.418409	h186B.1.418751	TS129.418618	TS184.418577	TS185.418675	TS194.418607	TS164.418396	TS5.418546	TS193.418750	TS111.418684	TS128.418470	TS2.418517	TS4.418810	TS1.418828	USchp36Mom.418718	TS110.418428	TS163.418636	TS127.418550	TS8.418379	TS195.418848	TS7.418860	USygt41.F.418802	USygt49.T1.418399	USygt49.M.418347	USygt38.T1.418654	USygt43.M.418520	USygt48.T2.418547	USygt51.T1.418476	USygt51.M.418844	USygt41.T2.418682	USygt51.F.418349	USygt49.B1.418842	USygt48.T1.418674	USygt52.M.418736	USygt44.T2.418648	USygt39.T1.418416	USygt46.M.418453	USygt44.F.418709	USygt51.T2.418469	USygt50.T2.418852	USygt46.T1.418865	USygt40.F.418369	USygt40.T1.418834	USygt37.M.418793	USygt48.F.418551	USygt38.T2.418456	USygt43.F.418760	USygt40.M.418504	USygt41.T1.418847	USygt42.T2.418716	USygt48.M.418794	USygt41.B1.418570	USygt53.M.418452	USygt52.T2.418721	USygt47.T2.418762	USygt49.F.418818	USygt50.M.418681	USygt19.B1.418817	USygt19.T2.418432	USygt11.T1.418632	USygt19.T1.418385	USygt21.T2.418484	USygt21.M.418797	USygt20.T2.418500	USygt16.F.418383	USygt11.T2.418503	USygt5.F.418630	USygt9.T1.418606	USygt21.B1.418713	USygt5.T1.418573	USygt17.T1.418600	USygt17.T2.418720	USygt21.T1.418559	USygt8.F.418739	USygt19.M.418397	USygt5.T2.418805	USygt5.M.418357	USygt16.T2.418435	USygt22.T1.418770	USygt9.M.418560	USygt20.M.418572	USygt4.M.418367	USygt6.M.418593	USygt10.T1.418683	USygt18.T1.418786	USygt20.T1.418564	USygt4.F.418451	USygt10.T2.418815	USygt10.M.418687	USygt17.M.418444	USygt18.M.418867	USygt12.T2.418790	USygt15.M.418634	USygt4.T2.418732	USygt18.T2.418629	h208M.1.418731	h60M.1.418694	h186A.1.418741	h101M.1.418586	h257M.1.418454	h146A.4.418620	k278A.2.418424	k278B.2.418686	h186C.1.418575	h60B.2.418433	h235M.1.418489	h279M.1.418530	USygt54.F.418487	USygt52.F.418555	USygt34.T2.418744	USygt53.T2.418455	USygt9.F.418438	USygt37.T1.418580	USygt45.F.418753	USygt45.M.418662	USygt50.T1.418743	USygt37.F.418676	USygt49.T2.418670	USygt25.B2.418685	USygt54.M.418445	USygt27.F.418639	USygt47.T1.418692	USygt53.T1.418664	USygt36.T1.418651	USygt47.M.418401	USygt46.T2.418679	USygt46.F.418450	USygt32.T2.418437	USygt54.T1.418381	USygt47.F.418643	USygt53.F.418830	USygt52.T1.418819	USygt45.T2.418535	USygt54.T2.418497	USygt44.T1.418626	USygt6.T2.418728	USygt39.T2.418351	USygt44.M.418360	USygt34.T1.418567	USygt3.T2.418807	USygt40.T2.418474	USygt50.F.418499	USygt33.T2.418787	USygt9.T2.418652	USygt34.T2.418554	h9B.5.418656	h9M.1.418588	h85M.1.418596	h95M.1.418831	h78M.1.418725	h9A.5.418658	USygt33.T1.418574	USygt25.T1.418406	USygt44.B1.418371	USygt26.T1.418758	USygt25.T2.418341	USygt22.M.418388	USygt43.T2.418799	USygt27.T2.418523	USygt38.F.418465	USygt26.M.418352	USygt37.B1.418521	USygt38.M.418740	USygt31.M.418440	USygt43.T1.418816	USygt36.T2.418655	USygt39.M.418483	USygt27.T1.418441	USygt23.M.418612	USygt30.M.418398	USygt22.T2.418493	USygt23.T2.418458	USygt26.T2.418693	USygt25.M.418835	USygt42.F.418628	USygt42.T1.418811	USygt36.M.418734	USygt24.T1.418841	USygt24.T2.418363	USygt39.F.418756	USygt35.M.418364	USygt34.M.418823	USygt42.M.418663	USygt35.T2.418689	USygt45.T1.418763	USygt41.M.418492	USygt24.M.418730	USygt32.S1.418608	USygt29.M.418603	USchp3Child.418614	USchp1Child.418697	USchp3Mom.418727	TS109.418691	TS25.418407	TS13.418619	TS26.418393	TS14.418541	USchp1Mom.418814	USygt12.M.418543	USygt7.T2.418392	USygt15.T1.418779	USygt1.T2.418785	USygt13.F.418411	USygt8.M.418616	USygt3.T1.418429	h10M.1.418706	USygt1.M.418373	USygt1.T1.418417	USygt13.T2.418745	USygt6.AS.418353	USygt3.M.418496	USygt8.T1.418829	USygt13.T1.418495	USygt1.F.418592	USygt14.T1.418853	USygt8.T2.418755	USygt7.T1.418622	USygt12.F.418502	USygt7.M.418598	h122M.1.418534	USygt4.T1.418764	USygt14.M.418857	h37M.1.418863	h305M.1.418771	USygt2.M.418457
Candidatus Nitrososphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter	48	1	3000	50898	1952	2	5	3	1481	2	2	1252	15061	2	731	9252	8	10357	5	5	555	6146	8060	1	1	368	50	2	4	11	9	6632	64	8	1	2	126	10523	0	1212	19196	4	298	1	0	2963	0	0	0	0	0	0	1	1	898	3	0	15	0	0	4	2686	0	0	1	245	846	587	1	0	325	0	0	446	383	0	1	0	2	7	1685	1	24010	164	3071	0	5	1	845	1	0	27	2	3	2	0	2	376	5367	4	0	3	34	8514	0	0	2139	6	0	7	1	149	527	365	3091	7336	302	2447	1	0	1	4	0	7	2	1	0	0	1	2233	1	1	0	17	4	1	1	2	0	1	0	14	0	17	4184	7361	1	0	40	2093	1	10	1	0	0	0	0	0	0	0	1	5158	1	1	0	1	0	4	0	792	1	1	0	0	0	1	1495	132	4534	2	0	1	1	6077	2	798	0	1281	0	989	0	30	1	4	0	4	0	0	0	0	183	2	1	1	4609	1	1	36	5783	1432	0	2	3692	0	2	0	1	43	1505	1728	1	2	2	9183	1	8056	3170	3	2	1	2053	4619	2534	0	9471	15	0	0	3	0	14205	30529	1	4802	445	2995	22768	1	210	2	2	4	0	0	28	1	0	0	0	1	0	0	628	0	3049	0	2147	0	0	803	0	1	1839	2	2818	0	252	0	429	0	2	0	527	3	356	0	3666	2	1	2	387	0	6962	559	5279	0
Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4613	1	0	1	5869	223	3727	0	0	522	1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2741	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2318	0	0	812	0	649	0	0	0	0	780	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	139	1291	1885	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1135	0	0	0	0	0	1	0	0	0	0	0	0	0	1204	0	0	1099	939	1
Methanothermobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edaphobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terriglobus	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Solibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Koribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
