sampleid	age	age_group	age_quant	sex	country
h18B.4.418355	1.35	Age ≤ 2 years old	Age ≤ 2	female	MA
h47A.1.418772	0.6	Age ≤ 2 years old	Age ≤ 2	male	MA
h35A.3.418524	1.89	Age ≤ 2 years old	Age ≤ 2	male	MA
h18A.4.418403	1.35	Age ≤ 2 years old	Age ≤ 2	female	MA
USBldInf3.418459	0.83	Age ≤ 2 years old	Age ≤ 2	female	US
USchp50Infant.418380	1	Age ≤ 2 years old	Age ≤ 2	female	US
USBld1.418516	1.25	Age ≤ 2 years old	Age ≤ 2	female	US
USchp60Child.418703	1	Age ≤ 2 years old	Age ≤ 2	male	US
h68A.4.418806	1.7	Age ≤ 2 years old	Age ≤ 2	male	MA
USBldChld10.418660	1.3	Age ≤ 2 years old	Age ≤ 2	male	US
USBldChld8.418589	1.6	Age ≤ 2 years old	Age ≤ 2	male	US
USchp41Infant.418542	1	Age ≤ 2 years old	Age ≤ 2	male	US
h68B.4.418611	1.7	Age ≤ 2 years old	Age ≤ 2	male	MA
h78B.4.418738	1.89	Age ≤ 2 years old	Age ≤ 2	male	MA
h78A.4.418851	1.89	Age ≤ 2 years old	Age ≤ 2	male	MA
h144A.1.418690	1.22	Age ≤ 2 years old	Age ≤ 2	male	MA
h259A.2.418342	0.11	Age ≤ 2 years old	Age ≤ 2	female	MA
h264B.2.418350	0.8	Age ≤ 2 years old	Age ≤ 2	female	MA
h181A.1.418791	0.21	Age ≤ 2 years old	Age ≤ 2	male	MA
h128A.1.418657	0.76	Age ≤ 2 years old	Age ≤ 2	male	MA
h181C.1.418714	0.21	Age ≤ 2 years old	Age ≤ 2	male	MA
h165A.1.418855	0.44	Age ≤ 2 years old	Age ≤ 2	male	MA
h144B.1.418701	1.22	Age ≤ 2 years old	Age ≤ 2	male	MA
h47B.1.418571	0.6	Age ≤ 2 years old	Age ≤ 2	male	MA
h181B.1.418825	0.21	Age ≤ 2 years old	Age ≤ 2	male	MA
h259B.2.418617	0.11	Age ≤ 2 years old	Age ≤ 2	female	MA
h165B.1.418384	0.44	Age ≤ 2 years old	Age ≤ 2	male	MA
h273B.2.418501	0.93	Age ≤ 2 years old	Age ≤ 2	female	MA
h273A.2.418494	0.93	Age ≤ 2 years old	Age ≤ 2	female	MA
USinfTw2.2.418678	0.08	Age ≤ 2 years old	Age ≤ 2	male	US
USinfTw3.1.418387	0.17	Age ≤ 2 years old	Age ≤ 2	female	US
USinfTw1.2.418491	0.08	Age ≤ 2 years old	Age ≤ 2	male	US
USinfTw1.1.418752	0.08	Age ≤ 2 years old	Age ≤ 2	male	US
