sampleid	age	age_group	age_quant	sex	country
USygt16.T1.418527	13	Age > 2 years old	2 < Age ≤ 15	male	US
USygt30.T1.418821	14	Age > 2 years old	2 < Age ≤ 15	female	US
USygt33.M.418638	47	Age > 2 years old	33 < Age ≤ 84	female	US
USygt28.T2.418449	16	Age > 2 years old	15 < Age ≤ 33	male	US
USygt16.B1.418368	11	Age > 2 years old	2 < Age ≤ 15	male	US
USygt13.M.418644	47	Age > 2 years old	33 < Age ≤ 84	female	US
USygt30.T2.418609	14	Age > 2 years old	2 < Age ≤ 15	female	US
USygt25.S1.418338	7	Age > 2 years old	2 < Age ≤ 15	female	US
USygt22.F.418477	50	Age > 2 years old	33 < Age ≤ 84	male	US
USygt37.T2.418585	16	Age > 2 years old	15 < Age ≤ 33	female	US
USygt14.F.418375	51	Age > 2 years old	33 < Age ≤ 84	male	US
USygt12.T1.418615	13	Age > 2 years old	2 < Age ≤ 15	male	US
USygt28.T1.418827	16	Age > 2 years old	15 < Age ≤ 33	female	US
USygt11.M.418479	46	Age > 2 years old	33 < Age ≤ 84	female	US
USygt25.F.418747	44	Age > 2 years old	33 < Age ≤ 84	male	US
USygt31.T2.418361	14	Age > 2 years old	2 < Age ≤ 15	female	US
USygt25.B1.418792	11	Age > 2 years old	2 < Age ≤ 15	male	US
USygt15.F.418688	48	Age > 2 years old	33 < Age ≤ 84	male	US
USygt29.T2.418768	14	Age > 2 years old	2 < Age ≤ 15	female	US
USygt29.T1.418673	14	Age > 2 years old	2 < Age ≤ 15	female	US
USygt15.T2.418859	16	Age > 2 years old	15 < Age ≤ 33	male	US
USygt31.T1.418408	14	Age > 2 years old	2 < Age ≤ 15	female	US
USygt27.M.418861	46	Age > 2 years old	33 < Age ≤ 84	female	US
USygt14.T2.418813	14	Age > 2 years old	2 < Age ≤ 15	male	US
USygt9.B1.418824	10	Age > 2 years old	2 < Age ≤ 15	male	US
USygt11.F.418661	43	Age > 2 years old	33 < Age ≤ 84	male	US
USygt32.M.418562	35	Age > 2 years old	33 < Age ≤ 84	female	US
USygt23.T1.418854	14	Age > 2 years old	2 < Age ≤ 15	male	US
USygt32.T1.418708	16	Age > 2 years old	15 < Age ≤ 33	female	US
USygt35.T1.418610	15	Age > 2 years old	2 < Age ≤ 15	male	US
USygt28.M.418808	47	Age > 2 years old	33 < Age ≤ 84	female	US
USygt20.F.418339	49	Age > 2 years old	33 < Age ≤ 84	male	US
USygt23.F.418490	50	Age > 2 years old	33 < Age ≤ 84	male	US
USygt34.F.418402	40	Age > 2 years old	33 < Age ≤ 84	male	US
USygt30.F.418729	50	Age > 2 years old	33 < Age ≤ 84	male	US
USygt16.M.418462	42	Age > 2 years old	33 < Age ≤ 84	female	US
USygt21.F.418579	41	Age > 2 years old	33 < Age ≤ 84	male	US
F3T2pre4.418583	23	Age > 2 years old	15 < Age ≤ 33	female	US
USBldAdlt6.418795	33	Age > 2 years old	15 < Age ≤ 33	female	US
h68M.1.418773	26	Age > 2 years old	15 < Age ≤ 33	female	MA
USchp60Mom.418566	33	Age > 2 years old	15 < Age ≤ 33	female	US
F4T2pre4.418418	23	Age > 2 years old	15 < Age ≤ 33	female	US
USchp25Child.418345	6	Age > 2 years old	2 < Age ≤ 15	male	US
USchp33ChildA.418742	5	Age > 2 years old	2 < Age ≤ 15	female	US
USBldChld5.418733	3	Age > 2 years old	2 < Age ≤ 15	male	US
USchp33Mom.418698	45	Age > 2 years old	33 < Age ≤ 84	female	US
USBldChld4.418528	6	Age > 2 years old	2 < Age ≤ 15	female	US
USchp35Child.418784	9	Age > 2 years old	2 < Age ≤ 15	female	US
USchp18Mom.418783	40	Age > 2 years old	33 < Age ≤ 84	female	US
