Feature ID	Taxon
Candidatus Nitrososphaera	Archaea;Crenarchaeota;Thaumarchaeota;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera
Methanobrevibacter	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter
Methanosphaera	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera
Methanothermobacter	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter
Methanosarcina	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina
Edaphobacter	Bacteria;Acidobacteria;Acidobacteria (class);Acidobacteriales;Acidobacteriaceae;Edaphobacter
Terriglobus	Bacteria;Acidobacteria;Acidobacteria (class);Acidobacteriales;Acidobacteriaceae;Terriglobus
Candidatus Solibacter	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter
Candidatus Koribacter	Bacteria;Acidobacteria;Unknown;Unknown;Koribacteraceae;Candidatus Koribacter
Actinobaculum	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinobaculum
Actinomyces	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces
Arcanobacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Arcanobacterium
Mobiluncus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Mobiluncus
Varibaculum	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Varibaculum
Actinokineospora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinosynnemataceae;Actinokineospora
Saccharothrix	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinosynnemataceae;Saccharothrix
Georgenia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Bogoriellaceae;Georgenia
Brevibacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Brevibacteriaceae;Brevibacterium
Actinotalea	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Cellulomonadaceae;Actinotalea
Cellulomonas	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Cellulomonadaceae;Cellulomonas
Demequina	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Cellulomonadaceae;Demequina
Oerskovia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Cellulomonadaceae;Oerskovia
Corynebacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Corynebacteriaceae;Corynebacterium
Cryptosporangium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Cryptosporangiaceae;Cryptosporangium
Brachybacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dermabacteraceae;Brachybacterium
Dermabacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dermabacteraceae;Dermabacter
Dermacoccus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dermacoccaceae;Dermacoccus
Kytococcus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dermacoccaceae;Kytococcus
Dermatophilus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dermatophilaceae;Dermatophilus
Dietzia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dietziaceae;Dietzia
Frankia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Frankiaceae;Frankia
Geodermatophilus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Geodermatophilaceae;Geodermatophilus
Modestobacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Geodermatophilaceae;Modestobacter
Gordonia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Gordoniaceae;Gordonia
Arsenicicoccus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Arsenicicoccus
Janibacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Janibacter
Knoellia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Knoellia
Phycicoccus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Phycicoccus
Serinicoccus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Serinicoccus
Terracoccus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Terracoccus
Tetrasphaera	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Tetrasphaera
Jonesia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Jonesiaceae;Jonesia
Kineococcus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Kineosporiaceae;Kineococcus
Kineosporia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Kineosporiaceae;Kineosporia
Agrococcus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Agrococcus
Agromyces	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Agromyces
Clavibacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Clavibacter
Cryobacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Cryobacterium
Cryocola	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Cryocola
Curtobacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Curtobacterium
Leucobacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Leucobacter
Microbacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Microbacterium
Microcella	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Microcella
Pseudoclavibacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Pseudoclavibacter
Yonghaparkia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Yonghaparkia
Arthrobacter	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Arthrobacter
Citricoccus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Citricoccus
Kocuria	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Kocuria
Micrococcus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Micrococcus
Nesterenkonia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Nesterenkonia
Renibacterium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Renibacterium
Rothia	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Rothia
Sinomonas	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Sinomonas
Actinoplanes	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Actinoplanes
Catellatospora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Catellatospora
Dactylosporangium	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Dactylosporangium
Luedemannella	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Luedemannella
Micromonospora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Micromonospora
Verrucosispora	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Verrucosispora
